model,target,location,season,disease,wis,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median,wis_relative_skill,wis_scaled_relative_skill,pop,density,inpatient_beds,median_facilities,burden,wis_per100k,normalized_wis_dens,wis_hosp_capacity,wis_facilities,wis_burden,omega
Baseline,wk inc hosp,dc,2022-2023,Influenza,0.47740155172576443,0.14818999799825874,0.16744550504828376,0.1617660486792219,0.034999999999999996,0.46875,0.75,0.6736510680908545,1.0031334266847147,1,670050,10961.845722,3231.145604395605,9,500,0.0712486458810185,4.35512014885995e-5,1.477499345979067e-4,0.05304461685841827,9.548031034515289e-4,12.84418135823051
Baseline,wk inc hosp,dc,2023-2024,COVID-19,0.5910284937597576,0.025064015000672166,0.021447680870843127,0.5445167978882423,-0.011309523809523837,1,1,0.6353902393504349,1.5209083588399124,1,670050,10961.845722,2979.2401960784314,9,1536,0.08820662543985637,5.391687757232218e-5,1.983822904033476e-4,0.06566983263997307,3.847841756248422e-4,14.143164359350136
Baseline,wk inc hosp,dc,2023-2024,Influenza,0.4391429123860875,0.10354326589580179,0.22542117913048737,0.11017846735979833,-0.053363636363636356,0.2727272727272727,0.7909090909090909,0.700205015552945,0.9426494563564427,1,670050,10961.845722,2979.2401960784314,9,544,0.06553882730931833,4.0061037486118296e-5,1.474009759146411e-4,0.0487936569317875,8.072480007097196e-4,10.325224695303536
Baseline,wk inc hosp,de,2022-2023,COVID-19,0.5035873817993046,0.037808076540842984,0.00781673390597681,0.45796257135248486,0.08585858585858584,0.9747474747474747,1,0.44141095828932947,1.5480677028848628,1,1003384,514.93862029,2521.901098901099,8,3431,0.05018889894589755,9.779561329381302e-4,1.9968561892404874e-4,0.06294842272491308,1.4677568691323365e-4,10.95596274193934
Baseline,wk inc hosp,de,2022-2023,Influenza,0.5439674171468215,0.1836840839103838,0.1457924386255063,0.21449089461093138,0.024062499999999997,0.546875,0.828125,0.868154214565067,1.0179751874959846,1,1003384,514.93862029,2521.901098901099,8,442,0.05421328396175557,0.0010563733146301461,2.1569736314554585e-4,0.06799592714335269,0.0012306955139068359,18.96732842948765
Baseline,wk inc hosp,de,2023-2024,COVID-19,0.5817215494853564,0.02480673222956404,0.014656897664259162,0.5422579195915331,0.016071428571428542,1,1,0.509619197170578,1.6350772473514985,1,1003384,514.93862029,2491.426470588235,8,1790,0.057975964285393866,0.0011296910477558392,2.33489350921125e-4,0.07271519368566955,3.24984105857741e-4,9.740206373121108
Baseline,wk inc hosp,de,2023-2024,Influenza,0.3877521427587724,0.10513494482469511,0.1439284097451919,0.1386887881888854,0.04236363636363637,0.37272727272727274,0.9090909090909091,0.5806110660047065,0.9738610507015346,1,1003384,514.93862029,2491.426470588235,8,517,0.03864444148588899,7.530065283128317e-4,1.5563459220501203e-4,0.04846901784484655,7.500041446011072e-4,10.8810820041483
Baseline,wk inc hosp,fl,2022-2023,COVID-19,0.44557800790601776,0.041402341263582214,0.01130893014733933,0.39286673649509624,0.09964646464646462,0.8838383838383839,0.9848484848484849,0.2695808375985071,2.676114630161007,1,21781128,405.98041819,56061.68681318681,204,83913,0.0020457067600264675,0.0010975357134035118,7.947995025387089e-6,0.00218420592110793,5.309999736703702e-6,23.990255278642923
Baseline,wk inc hosp,fl,2022-2023,Influenza,0.3017103663842414,0.0659391761591593,0.10869730191488405,0.12707388831019809,-0.09625,0.453125,0.703125,0.33150674825086185,1.1996257724358188,1,21781128,405.98041819,56061.68681318681,204,16387,0.0013851916502407103,7.431648248685731e-4,5.381756838491582e-6,0.0014789723842364775,1.8411568095700338e-5,22.104356283697634
Baseline,wk inc hosp,fl,2023-2024,COVID-19,0.6230626362236868,0.02416074710248571,0.02820917583409501,0.5706927132871061,-0.015476190476190473,0.9940476190476191,1,0.4330119603236398,2.1428493755818425,1,21781128,405.98041819,56236.117647058825,204,34069,0.0028605618415340423,0.0015347110557733642,1.1079403456228336e-5,0.0030542286089396413,1.8288257249220313e-5,31.39217993563563
Baseline,wk inc hosp,fl,2023-2024,Influenza,0.20808115805718044,0.06179699104422231,0.09164643043250534,0.05463773658045279,-0.01927272727272726,0.16363636363636364,0.7181818181818181,0.3099126767442306,1.1189349073888473,1,21781128,405.98041819,56236.117647058825,204,18401,9.55327740864387e-4,5.125398879701578e-4,3.7001337710243443e-6,0.0010200056767508845,1.1308144017019751e-5,18.34723024547894
Baseline,wk inc hosp,ga,2022-2023,COVID-19,0.5773681624067576,0.03773523792707806,0.0050316363798083505,0.5346012880998712,0.13484848484848483,0.9646464646464646,1,0.3709373104506182,2.2176559769411734,1,10799566,187.11258523,21006.00824175824,138,30172,0.005346216342460036,0.0030856725200875874,2.748585812981814e-5,0.004183827263817084,1.9135892960584567e-5,20.23422308772229
Baseline,wk inc hosp,ga,2022-2023,Influenza,0.25217639986819035,0.05287185562884338,0.10134017506325098,0.09796436917609597,-0.079921875,0.4765625,0.7109375,0.30565193731199464,0.943481529632479,1,10799566,187.11258523,21006.00824175824,138,4151,0.0023350605002848295,0.0013477254860126777,1.2004965292115048e-5,0.001827365216436162,6.075075882153465e-5,13.16571040142247
Baseline,wk inc hosp,ga,2023-2024,COVID-19,0.7631591080513479,0.015299937349606956,0.035110880960210644,0.7127482897415303,-0.05952380952380954,0.9940476190476191,1,0.505818629664108,1.9013010790250366,1,10799566,187.11258523,21367.46568627451,135,16355,0.007066572009017287,0.004078609181275903,3.5715939328339096e-5,0.005653030430009984,4.66621282819534e-5,20.30907217015292
Baseline,wk inc hosp,ga,2023-2024,Influenza,0.44239699071909255,0.11826575892422232,0.23660097029312047,0.08753026150174976,0.034090909090909095,0.19090909090909092,0.5818181818181818,0.5701796671667863,1.273147023414386,1,10799566,187.11258523,21367.46568627451,135,7641,0.0040964330485048425,0.0023643358364980917,2.0704233118449244e-5,0.0032770147460673524,5.789778703299209e-5,18.95630809071297
Baseline,wk inc hosp,hi,2022-2023,COVID-19,0.37384036237209806,0.016525480388001612,0.012574428093023228,0.3447404538910732,0.00909090909090907,0.9797979797979798,1,0.24790359526135505,1.7723823643418244,1,1441553,224.45613791,2523.186813186813,24,5720,0.02593316807443764,0.0016655386030120349,1.4816198325796317e-4,0.015576681765504086,6.535670670840876e-5,11.427104484401863
Baseline,wk inc hosp,hi,2022-2023,Influenza,0.4838217141150702,0.19561107939462977,0.13611196875961457,0.15209866596082586,-0.0058593749999999965,0.4921875,0.765625,0.7201610513907488,1.0082088256552026,1,1441553,224.45613791,2523.186813186813,24,378,0.03356253388637602,0.0021555289983162225,1.917502547122137e-4,0.020159238088127925,0.001279951624643043,13.954860434870909
Baseline,wk inc hosp,hi,2023-2024,COVID-19,0.4766481554309256,0.009123867907020562,0.021926121032134475,0.44559816649177053,-0.07261904761904764,1,1,0.3377973336056343,1.9388981845669235,1,1441553,224.45613791,2514.848039215686,24,2547,0.03306490676589245,0.0021235692633277277,1.895335813529232e-4,0.0198603398096219,1.8714101116251497e-4,12.19611446132205
Baseline,wk inc hosp,hi,2023-2024,Influenza,0.30717085606043876,0.11806877600889286,0.09527253252385316,0.09382954752769275,-0.09872727272727272,0.35454545454545455,0.7727272727272727,0.4401340007313616,0.985711350115894,1,1441553,224.45613791,2514.848039215686,24,529,0.0213083290077048,0.001368511723139444,1.2214290934104994e-4,0.012798785669184949,5.806632439705837e-4,10.423259778083082
Baseline,wk inc hosp,ia,2022-2023,COVID-19,0.5209084598201894,0.022979685385423818,0.009337839920546567,0.48859093451421903,0.03838383838383837,0.9949494949494949,1,0.37159614259684076,1.6155849693914344,1,3193079,57.169008467,7029.956043956044,115,7979,0.016313672784800795,0.00911172808114866,7.409839500604515e-5,0.004529638781045125,6.528493041987585e-5,12.607899093814613
Baseline,wk inc hosp,ia,2022-2023,Influenza,0.6394606836575515,0.20796116148755206,0.20256100282804318,0.22893851934195628,-0.007578125000000003,0.5234375,0.6953125,0.8003913241301442,1.2772750568739468,1,3193079,57.169008467,7029.956043956044,115,2191,0.020026459841975455,0.011185442966474942,9.09622591747673e-5,0.005560527683978709,2.9185791129965837e-4,19.26870433596397
Baseline,wk inc hosp,ia,2023-2024,COVID-19,0.6541623807148149,0.02283093557057626,0.0205216086279257,0.6108098365163129,-0.026190476190476212,0.9880952380952381,1,0.5254753575478796,1.5053393120583929,1,3193079,57.169008467,7092.421568627451,113,5000,0.020486883685458923,0.011442604975253698,9.22339957354524e-5,0.005789047616945265,1.3083247614296297e-4,12.244411942962618
Baseline,wk inc hosp,ia,2023-2024,Influenza,0.371196614101051,0.07501608691826119,0.18263285460100395,0.11354767258178587,-0.2722727272727273,0.2,0.8272727272727273,0.5478168557490269,1.130082637633936,1,3193079,57.169008467,7092.421568627451,113,2126,0.0116250369659207,0.006492969251256456,5.2337077048972736e-5,0.003284925788504876,1.7459859553200892e-4,12.148042125421298
Baseline,wk inc hosp,id,2022-2023,COVID-19,0.5102957287051185,0.01806096754380939,0.010157956295615842,0.48207680486569326,0.02323232323232321,0.9949494949494949,1,0.32450379850043454,1.833490300330211,1,1900923,23.001022601,2837.0906593406594,45,4416,0.026844629093609712,0.022185784413034433,1.7986585202170148e-4,0.011339905082335967,1.1555609798576054e-4,8.514325060266392
Baseline,wk inc hosp,id,2022-2023,Influenza,0.7327050426123887,0.24303535413508176,0.2940113337789536,0.19565835469835333,-0.036640624999999996,0.453125,0.640625,0.9319765356020094,1.173161668624001,1,1900923,23.001022601,2837.0906593406594,45,1645,0.03854469868650065,0.03185532466632737,2.5825929820045635e-4,0.016282334280275305,4.4541339976437e-4,15.956137044410301
Baseline,wk inc hosp,id,2023-2024,COVID-19,0.5949318194534393,0.015465909225080276,0.024966978089748317,0.5544989321386107,-0.047619047619047644,0.9940476190476191,1,0.48919330689250456,1.553547721797233,1,1900923,23.001022601,2857.642156862745,45,2808,0.03129699727203255,0.025865450844240894,2.081897546285444e-4,0.013220707098965319,2.1187030607316214e-4,11.32546593103112
Baseline,wk inc hosp,id,2023-2024,Influenza,0.43076317616568766,0.12316344146549263,0.1698195276840196,0.13778020701617544,0.03972727272727274,0.2727272727272727,0.8272727272727273,0.6023755879016389,1.0850810096074872,1,1900923,23.001022601,2857.642156862745,45,1516,0.022660737766110866,0.01872800108230665,1.5074076896968788e-4,0.00957251502590417,2.8414457530718184e-4,13.314748734999682
Baseline,wk inc hosp,il,2022-2023,COVID-19,0.36704256753145126,0.018047073284881532,0.010934270690545608,0.33806122355602414,0.0323232323232323,0.9747474747474747,1,0.2464152157192746,1.8050657127831844,1,12671469,228.2588546,28582.126373626375,177,43550,0.00289660628559681,0.001608010204794269,1.2841681641647662e-5,0.002073686822211589,8.428072733213576e-6,16.36674887582561
Baseline,wk inc hosp,il,2022-2023,Influenza,0.6524851100873974,0.18080261430725492,0.2047410112863297,0.26694148449381283,0.005703124999999993,0.4765625,0.625,0.70702277152607,1.3974149723447573,1,12671469,228.2588546,28582.126373626375,177,7338,0.005149245995767321,0.0028585314301642754,2.282843136154719e-5,0.003686356554166087,8.891865768430054e-5,26.00181087012715
Baseline,wk inc hosp,il,2023-2024,COVID-19,0.6097615313397299,0.02226996934147819,0.02153910383478636,0.5659524581634653,-0.023809523809523822,0.9583333333333334,1,0.3902929521587384,1.861476351998788,1,12671469,228.2588546,28210.33823529412,176,22927,0.004812082413962658,0.002671359813875671,2.1614825254978818e-5,0.0034645541553393745,2.65957836323867e-5,18.14837930607266
Baseline,wk inc hosp,il,2023-2024,Influenza,0.345309441365226,0.06443796714753833,0.1485909394627258,0.13228053475496188,-0.03545454545454545,0.22727272727272727,0.8909090909090909,0.46840118389118174,1.232504337228365,1,12671469,228.2588546,28210.33823529412,176,6431,0.002725093999482033,0.0015127975734844767,1.224052822355768e-5,0.0019619854623024206,5.369451739468605e-5,16.082579913958618
Baseline,wk inc hosp,in,2022-2023,COVID-19,0.546126080704089,0.030074509586963942,0.007523888974482945,0.5085276821426421,0.07474747474747473,0.9949494949494949,1,0.37312610698239246,2.0305425909710526,1,6805985,189.97357795,14972.997252747253,122,18275,0.008024203413673244,0.0028747475654105244,3.647406537818509e-5,0.004476443284459746,2.9883780065887222e-5,15.51863526941839
Baseline,wk inc hosp,in,2022-2023,Influenza,0.5342538601283722,0.18303945101053942,0.14106058429650645,0.21015382482132627,0.091875,0.4609375,0.640625,0.5632656907851898,1.4406602445913383,1,6805985,189.97357795,14972.997252747253,122,6080,0.007849765465665471,0.0028122535033213137,3.568115662549441e-5,0.0043791300010522305,8.787070067900859e-5,24.089933630574812
Baseline,wk inc hosp,in,2023-2024,COVID-19,0.7167564271393342,0.0334849355422507,0.026138663829999454,0.657132827767084,-0.00833333333333335,0.9583333333333334,1,0.531139470230682,1.701036303266863,1,6805985,189.97357795,15040.372549019608,122,11399,0.010531266629875531,0.0037729269242272236,4.765549688368957e-5,0.005875052681469952,6.287888649349366e-5,15.975183987288787
Baseline,wk inc hosp,in,2023-2024,Influenza,0.3499204618621568,0.08140306674079419,0.1619252162465663,0.1065921788747963,-0.23927272727272725,0.15454545454545454,0.8181818181818182,0.5058786492464303,1.1533880714771985,1,6805985,189.97357795,15040.372549019608,122,6081,0.005141363988638776,0.0018419427882452894,2.326541185876184e-5,0.002868200507066859,5.754324319390837e-5,17.564480487272462
Baseline,wk inc hosp,ks,2022-2023,COVID-19,0.5510696585529908,0.0236209213461505,0.010344442298477575,0.5171042949083628,0.029292929292929273,1,1,0.3865936883665803,1.6881517658391931,1,2934582,35.893253619,8056.854395604396,126,7932,0.018778471978393885,0.01535301492593816,6.839761915688084e-5,0.00437356871867453,6.947423834505683e-5,11.919333974601509
Baseline,wk inc hosp,ks,2022-2023,Influenza,0.6110802837499529,0.16672603581081147,0.1798216796957561,0.26453256824338534,0.01953124999999999,0.4921875,0.65625,0.7474706584997831,1.3372108629610244,1,2934582,35.893253619,8056.854395604396,126,1921,0.020823418250025146,0.017024934274180125,7.584601306476905e-5,0.004849843521825024,3.181053012753529e-4,21.022224982858027
Baseline,wk inc hosp,ks,2023-2024,COVID-19,0.6615051051344537,0.017963740505803395,0.027241203985353617,0.6163001606432966,-0.0648809523809524,0.9821428571428571,1,0.5132378884616373,1.5238611203303596,1,2934582,35.893253619,7919.235294117647,123,5067,0.02254171480416815,0.018429789401546135,8.353143713583244e-5,0.0053780902856459655,1.3055162919566878e-4,14.83979156358476
Baseline,wk inc hosp,ks,2023-2024,Influenza,0.37562885085507924,0.10060071183369931,0.1473024274663202,0.1277257115550597,-0.09290909090909091,0.20909090909090908,0.8,0.522566903877629,1.1040365162343602,1,2934582,35.893253619,7919.235294117647,123,1860,0.012800080244991595,0.010465165817574172,4.743246499243352e-5,0.003053893096382758,2.0195099508337594e-4,15.529069078682111
Baseline,wk inc hosp,ky,2022-2023,COVID-19,0.6136839877221101,0.012358663410268074,0.008792608212464963,0.5925327160993771,0.00757575757575755,1,1,0.27923809750471423,2.4675092312357756,1,4509394,114.18646796,11989.818681318682,98,13502,0.013609012379980771,0.005374402052063526,5.118375882349999e-5,0.00626208150736847,4.5451339632803295e-5,12.698938263742187
Baseline,wk inc hosp,ky,2022-2023,Influenza,0.7010786256520838,0.20228925214420732,0.22236556138046046,0.276423812127416,0.02718749999999999,0.5,0.65625,0.7803975992371895,1.4089301741764912,1,4509394,114.18646796,11989.818681318682,98,4477,0.015547069642885136,0.006139769783383392,5.847282968043823e-5,0.00715386352706208,1.5659562779809778e-4,24.304659903793567
Baseline,wk inc hosp,ky,2023-2024,COVID-19,0.7272112501949474,0.009164299998981468,0.017346732318696434,0.7007002178772694,-0.04642857142857146,1,1,0.41120263630238435,1.9289068440238784,1,4509394,114.18646796,12114.617647058823,97,8965,0.01612658486251029,0.006368628990693473,6.002758579603204e-5,0.007497023197886055,8.111670387004432e-5,12.786688773751964
Baseline,wk inc hosp,ky,2023-2024,Influenza,0.36257869740265464,0.1001258404485966,0.11768797458438839,0.1447648823696696,0.005181818181818195,0.2909090909090909,0.9090909090909091,0.4889352653135482,1.1913287844715432,1,4509394,114.18646796,12114.617647058823,97,3950,0.008040519355874751,0.0031753210680767136,2.9929025245850923e-5,0.003737924715491285,9.17920752918113e-5,15.4272317945078
